gen	nevals	avg     	std       	min     	max
101	12    	0.512109	0.00836886	0.492188	0.515625
102	12    	0.510938	0.009375  	0.492188	0.515625
103	10    	0.513281	0.00703125	0.492188	0.515625
104	14    	0.510938	0.009375  	0.492188	0.515625
105	15    	0.508594	0.0107404 	0.492188	0.515625
106	12    	0.510938	0.009375  	0.492188	0.515625
107	16    	0.509766	0.0101487 	0.492188	0.515625
108	12    	0.507422	0.011179  	0.492188	0.515625
109	16    	0.509766	0.0101487 	0.492188	0.515625
110	14    	0.514453	0.00510808	0.492188	0.515625
111	13    	0.512109	0.00836886	0.492188	0.515625
112	14    	0.509766	0.0101487 	0.492188	0.515625
113	14    	0.512109	0.00836886	0.492188	0.515625
114	12    	0.510938	0.009375  	0.492188	0.515625
115	8     	0.508594	0.0107404 	0.492188	0.515625
116	12    	0.512109	0.00836886	0.492188	0.515625
117	12    	0.508594	0.0107404 	0.492188	0.515625
118	14    	0.509766	0.0101487 	0.492188	0.515625
119	12    	0.505078	0.01166   	0.492188	0.515625
120	12    	0.508594	0.0107404 	0.492188	0.515625
121	14    	0.509766	0.0101487 	0.492188	0.515625
122	13    	0.513281	0.00703125	0.492188	0.515625
123	7     	0.510938	0.009375  	0.492188	0.515625
124	10    	0.510938	0.009375  	0.492188	0.515625
125	11    	0.509766	0.0101487 	0.492188	0.515625
126	12    	0.50625 	0.011482  	0.492188	0.515625
127	13    	0.512109	0.00836886	0.492188	0.515625
128	8     	0.512109	0.00836886	0.492188	0.515625
129	12    	0.513281	0.00703125	0.492188	0.515625
130	16    	0.508594	0.0107404 	0.492188	0.515625
131	11    	0.509766	0.0101487 	0.492188	0.515625
132	14    	0.512109	0.00836886	0.492188	0.515625
133	12    	0.508594	0.0107404 	0.492188	0.515625
134	6     	0.510938	0.009375  	0.492188	0.515625
135	13    	0.50625 	0.011482  	0.492188	0.515625
136	12    	0.509766	0.0101487 	0.492188	0.515625
137	12    	0.513281	0.00703125	0.492188	0.515625
138	7     	0.512109	0.00836886	0.492188	0.515625
139	16    	0.509766	0.0101487 	0.492188	0.515625
140	7     	0.512109	0.00836886	0.492188	0.515625
141	14    	0.512109	0.00836886	0.492188	0.515625
142	12    	0.512109	0.00836886	0.492188	0.515625
143	8     	0.513281	0.00703125	0.492188	0.515625
144	17    	0.509766	0.0101487 	0.492188	0.515625
145	18    	0.509766	0.0101487 	0.492188	0.515625
146	13    	0.510938	0.009375  	0.492188	0.515625
147	12    	0.510938	0.009375  	0.492188	0.515625
148	10    	0.510938	0.009375  	0.492188	0.515625
149	13    	0.509766	0.0101487 	0.492188	0.515625
150	18    	0.510938	0.009375  	0.492188	0.515625
151	15    	0.512109	0.00836886	0.492188	0.515625
152	10    	0.508594	0.0107404 	0.492188	0.515625
153	9     	0.510938	0.009375  	0.492188	0.515625
154	11    	0.512109	0.00836886	0.492188	0.515625
155	15    	0.513281	0.00703125	0.492188	0.515625
156	12    	0.512109	0.00836886	0.492188	0.515625
157	16    	0.512109	0.00836886	0.492188	0.515625
158	8     	0.510938	0.009375  	0.492188	0.515625
159	14    	0.510938	0.009375  	0.492188	0.515625
160	10    	0.509766	0.0101487 	0.492188	0.515625
161	10    	0.509766	0.0101487 	0.492188	0.515625
162	13    	0.510938	0.009375  	0.492188	0.515625
163	10    	0.509766	0.0101487 	0.492188	0.515625
164	8     	0.513281	0.00703125	0.492188	0.515625
165	13    	0.512109	0.00836886	0.492188	0.515625
166	8     	0.515625	0         	0.515625	0.515625
167	9     	0.509766	0.0101487 	0.492188	0.515625
168	19    	0.509766	0.0101487 	0.492188	0.515625
169	14    	0.509766	0.0101487 	0.492188	0.515625
170	13    	0.509766	0.0101487 	0.492188	0.515625
171	14    	0.508594	0.0107404 	0.492188	0.515625
172	12    	0.512109	0.00836886	0.492188	0.515625
173	9     	0.514453	0.00510808	0.492188	0.515625
174	10    	0.514453	0.00510808	0.492188	0.515625
175	11    	0.513281	0.00703125	0.492188	0.515625
176	11    	0.509766	0.0101487 	0.492188	0.515625
177	11    	0.512109	0.00836886	0.492188	0.515625
178	10    	0.509766	0.0101487 	0.492188	0.515625
179	10    	0.509766	0.0101487 	0.492188	0.515625
180	12    	0.510938	0.009375  	0.492188	0.515625
181	16    	0.509766	0.0101487 	0.492188	0.515625
182	7     	0.512109	0.00836886	0.492188	0.515625
183	10    	0.512109	0.00836886	0.492188	0.515625
